,theme,accuracy,auc,val_accuracy,val_auc
0,audio & music,0.8936851620674133,0.8572613000869751,0.8894989490509033,0.6051396131515503
1,lust,0.9967968463897705,0.6400544047355652,0.9938229322433472,0.49965471029281616
2,lgbtq,0.9481391310691833,0.7398436069488525,0.9547014236450195,0.7616544961929321
3,dreams,0.9926021695137024,0.6803997159004211,0.9917638897895813,0.7736446857452393
4,flight,0.9978645443916321,0.5019776821136475,0.9972546100616455,0.5484342575073242
5,arts & sciences,0.8807199597358704,0.7955074310302734,0.8400823473930359,0.7027900218963623
6,violence,0.9929072856903076,0.6731559038162231,0.9897048473358154,0.8276698589324951
7,war,0.9483678936958313,0.8707153797149658,0.9327384829521179,0.7906098365783691
8,heartache,0.9106925129890442,0.7848644256591797,0.9066575169563293,0.6885659098625183
9,earth,0.9916107654571533,0.5536176562309265,0.9910775423049927,0.6759002804756165
10,christmas,0.9981696009635925,0.6476543545722961,0.9979409575462341,0.5
11,winter,0.9832977652549744,0.8412213325500488,0.9725463390350342,0.8845364451408386
12,anxiety,0.9940512776374817,0.5359739661216736,0.9945092797279358,0.5209627151489258
13,food,0.9717815518379211,0.8122735619544983,0.9704872965812683,0.8092951774597168
14,language,0.9653752446174622,0.8722142577171326,0.9636238813400269,0.7316360473632812
15,loneliness,0.993822455406189,0.6625250577926636,0.9945092797279358,0.645531415939331
16,city,0.9531726837158203,0.8029484748840332,0.9540150761604309,0.8360509872436523
17,old age,0.9447071552276611,0.6680057644844055,0.9553877711296082,0.6925839781761169
18,storms,0.998245894908905,0.6319977045059204,0.9986273050308228,0.5
19,love,0.9030659198760986,0.8452209234237671,0.8792038559913635,0.7846478223800659
20,drugs,0.9988560080528259,0.5524598360061646,0.9965682625770569,0.5
21,family,0.8842281699180603,0.8390631079673767,0.8455730676651001,0.7648324966430664
22,asian/pacific american heritage month,0.9900854229927063,0.7910604476928711,0.9910775423049927,0.5909333229064941
23,animals,0.9341824054718018,0.8304110765457153,0.9176389575004578,0.8447102308273315
24,heroes,0.987034797668457,0.8586046695709229,0.9842141270637512,0.7460281848907471
25,public domain,0.9624008536338806,0.7823697328567505,0.9704872965812683,0.8945398926734924
26,anniversary,0.9978645443916321,0.5797265768051147,0.9979409575462341,0.5
27,beginning,0.9958816170692444,0.5449234843254089,0.9938229322433472,0.4803176820278168
28,ambition,0.995347797870636,0.5007988810539246,0.9972546100616455,0.5
29,america,0.9740695357322693,0.7008348703384399,0.9691146016120911,0.7475212812423706
30,for children,0.9980933666229248,0.6022129058837891,0.9979409575462341,0.4982806146144867
31,gratitude & apologies,0.9967968463897705,0.7186732888221741,0.9965682625770569,0.5
32,history & politics,0.911683976650238,0.7386655807495117,0.9094029068946838,0.7626909017562866
33,fourth of july,0.9980170726776123,0.5685244798660278,0.9972546100616455,0.6451307535171509
34,creation,0.9955003261566162,0.47213834524154663,0.995881974697113,0.5
35,earth day,0.9958816170692444,0.8879861235618591,0.995881974697113,0.5782793164253235
36,patience,0.9993135929107666,0.6190123558044434,0.9986273050308228,0.5
37,memories,0.9879499673843384,0.7168734073638916,0.9855868220329285,0.7392227649688721
38,pastoral,0.9616382122039795,0.8709321618080139,0.9505833983421326,0.8070036768913269
39,popular culture,0.9807809591293335,0.5541191101074219,0.9759780168533325,0.757755696773529
40,movies,0.9989323019981384,0.6231949329376221,0.9972546100616455,0.5
41,summer,0.9849755764007568,0.881417989730835,0.9780370593070984,0.8405153155326843
42,home,0.9638499021530151,0.8267000317573547,0.9677419066429138,0.7082012891769409
43,identity,0.9812385439872742,0.7077635526657104,0.9773507118225098,0.7610870003700256
44,enemies,0.998245894908905,0.50690758228302,0.9979409575462341,0.6251718997955322
45,valentine's day,0.9958053827285767,0.5699965953826904,0.9951956272125244,0.6348275542259216
46,beauty,0.9839078783988953,0.5496076345443726,0.9855868220329285,0.7909204959869385
47,memorial day,0.9980933666229248,0.7107114195823669,0.9972546100616455,0.5
48,birds,0.9878737330436707,0.9024264812469482,0.9869595170021057,0.7485908269882202
49,nature,0.8647803664207458,0.8269622325897217,0.8037062287330627,0.7637939453125
50,new year,0.9981696009635925,0.6539133191108704,0.9979409575462341,0.49896836280822754
51,carpe diem,0.9964154958724976,0.6797126531600952,0.9945092797279358,0.6719719767570496
52,school & learning,0.9812385439872742,0.8543804883956909,0.9842141270637512,0.6976987719535828
53,friendship,0.9717053174972534,0.6274926066398621,0.9739190340042114,0.6171970367431641
54,despair,0.9933648705482483,0.6971659064292908,0.9931365847587585,0.5285418033599854
55,health & illness,0.9694173336029053,0.8516635894775391,0.9766643643379211,0.7151626348495483
56,plants,0.9582062363624573,0.8252686262130737,0.9601922035217285,0.8514645099639893
57,moving,0.9995424151420593,0.4941120743751526,0.9986273050308228,0.5
58,autumn,0.990314245223999,0.6992680430412292,0.9917638897895813,0.9004325866699219
59,migration,0.9966443181037903,0.6249043345451355,0.9951956272125244,0.48034483194351196
60,death,0.9109212756156921,0.81684410572052,0.897735059261322,0.7425867915153503
61,desire,0.9558419585227966,0.6432235240936279,0.9560741186141968,0.788103461265564
62,doubt,0.9978645443916321,0.7158047556877136,0.9972546100616455,0.5
63,existential,0.9806284308433533,0.6084417700767517,0.9732326865196228,0.7332465648651123
64,anger,0.9954240322113037,0.5310750603675842,0.9931365847587585,0.6927782297134399
65,math,0.9988560080528259,0.5308467745780945,0.9993136525154114,0.5
66,youth,0.9686546921730042,0.6833459138870239,0.9725463390350342,0.8172547817230225
67,women's history month,0.9902379512786865,0.6992207765579224,0.9910775423049927,0.7847858667373657
68,myth,0.9939749836921692,0.7153564691543579,0.9931365847587585,0.6173116564750671
69,translation,0.9976357817649841,0.6026697754859924,0.9979409575462341,0.49759283661842346
70,breakups,0.9893990159034729,0.6263465881347656,0.990391194820404,0.6104098558425903
71,night,0.9928309917449951,0.8983314037322998,0.9951956272125244,0.7540886402130127
72,landscapes,0.9895515441894531,0.6321375370025635,0.9890185594558716,0.7719682455062866
73,luck,0.9992373585700989,0.5255991220474243,0.9993136525154114,0.37843406200408936
74,thanksgiving,0.998474657535553,0.6108768582344055,0.9986273050308228,0.5697594285011292
75,for teens,0.9977883100509644,0.6304668188095093,0.9945092797279358,0.4986197352409363
76,water,0.9719340801239014,0.9079869985580444,0.9718599915504456,0.8820932507514954
77,native american heritage month,0.9948901534080505,0.5812457799911499,0.9938229322433472,0.8204419612884521
78,apocalypse,0.9970256090164185,0.6369097232818604,0.9979409575462341,0.6467217206954956
